scival_id,npi,first_name,clinician_first_name,last_name
16,NULL,Sue A,,Aicher
24,NULL,Nabil J,,Alkayed
3014,NULL,Frances,,Bahjat
188,1104831619,Dennis N,DENNIS,Bourdette
276,1679781959,Justin S,JUSTIN,Cetas
471,1346337391,David H,DAVID,Ellison
631,,Peta L,,Grigsby
632,,Markus,,Grompe
661,,B,,Hamilton
709,1437164951,Margaret M (Meg),MARGARET (MEG),Hayes
837,,Aaron J,,Janowsky
3090,1164430690,Jeffrey,JEFFREY,Jensen
854,,Kyle Patrick,,Johnson
884,1699783167,Sanjiv,KAUL,Kaul
887,1295741783,Jeffrey A,JEFFREY,Kaye
936,1437484524,Michael L,,Klein
949,1629086145,David M,DAVID,Koeller
1172,,Dennis J,,McCarty
1185,,Cynthia T (Cindy),,McEvoy
1237,,Suzanne H,,Mitchell
1359,1346256898,Susan Louise,SUSAN,Orloff
1387,,Michael (Misha),,Pavel
1391,1770598278,Tanja,TANJA,Pejovic
1492,1295743722,Charles T,,Roberts
1523,,Peter S,,Rotwein
1572,,Thomas S (Tom),,Scanlan
1613,1174531644,Brett C,,Sheppard
1725,,Richard L,,Stouffer
1812,,Arthur A,,Vandenbark
1919,,Jay Wiland,,Wright
