scival_id,npi,last_name,first_name,clinician_first_name
16,NULL,Aicher,Sue A,
24,NULL,Alkayed,Nabil J,
3014,NULL,Bahjat,Frances,
188,1104831619,Bourdette,Dennis N,DENNIS
276,1679781959,Cetas,Justin S,JUSTIN
471,1346337391,Ellison,David H,DAVID
631,,Grigsby,Peta L,
632,,Grompe,Markus,
NULL,NULL,Hamilton,D. Kojo,
708,,Hayes,Tamara,
,,Hoffman,William,
837,,Janowsky,Aaron J,
3090,1164430690,Jensen,Jeffrey,JEFFREY
NULL,NULL,Johnson,Steve,
884,1699783167,Kaul,Sanjiv,KAUL
887,1295741783,Kaye,Jeffrey A,JEFFREY
935,,Klein,Robert,
949,1629086145,Koeller,David M,DAVID
71,,McCarty,Owen,
1185,,McEvoy,Cynthia T (Cindy),
NULL,NULL,Messamore, Erik,
NULL,NULL,Meshul,Charles,
1237,,Mitchell,Suzanne H,
,,O'Rourke,Robert,
1359,1346256898,Orloff,Susan Louise,SUSAN
1387,,Pavel,Michael (Misha),
1391,1770598278,Pejovic,Tanja,TANJA
1492,1295743722,Roberts,Charles T,
1523,,Rotwein,Peter S,
1572,,Scanlan,Thomas S (Tom),
1392,,Sears,Rosalie,
1613,1174531644,Sheppard,Brett C,
1725,,Stouffer,Richard L,
,,Tsukamoto,Takuji,
1812,,Vandenbark,Arthur A,
,,Wiesen,Jane,
1919,,Wright,Jay Wiland,
